"","mean-all chains"
"ALPHA[1]",2.37988538242042
"ALPHA[2]",2.26781838148682
"ALPHA[3]",2.01989376999928
"ALPHA[4]",1.75460265735903
"ALPHA[5]",1.93807869584965
"ALPHA[6]",1.8481939576292
"BETA[1]",3.95114116187729
"BETA[2]",4.23572241080306
"BETA[3]",4.43902641493732
"BETA[4]",1.04750450419461
"BETA[5]",0.677071342887931
"BETA[6]",1.68223645713203
"GAMMA[1]",0.134883233467143
"GAMMA[2]",0.127106651920755
"GAMMA[3]",0.128564124792607
"GAMMA[4]",0.172591051636263
"GAMMA[5]",0.16029004371465
"GAMMA[6]",0.134656799076842
"mu",-4.77737003225458
"SD",4.86500898738467
"R[1,1]",1
"R[1,2]",0.862977259623606
"R[2,1]",0.862977259623606
"R[2,2]",1
